tensor,attention,story_id,token_id
2118,0.006890727672725916,2,10
2038,0.006637271493673325,2,11
2042,0.0067696524783968925,2,12
5496,0.006696229800581932,2,13
1997,0.006757430732250214,2,14
4424,0.007159718312323093,2,15
16011,0.006895786616951227,2,16
1012,0.007146350108087063,2,17
2340,0.007028746884316206,2,18
2308,0.007142550777643919,2,19
1010,0.006748863961547613,2,20
2035,0.006731975823640823,2,21
1997,0.006928665563464165,2,22
2068,0.006656008306890726,2,23
2280,0.0067001087591052055,2,24
4619,0.006892509758472443,2,25
2493,0.006914978381246328,2,26
1999,0.006809223908931017,2,27
1996,0.006804801989346743,2,28
2533,0.006814700085669756,2,29
1010,0.006760061718523502,2,30
2031,0.006741335615515709,2,31
2272,0.006890578661113977,2,32
2830,0.0073552983812987804,2,33
2007,0.007576689124107361,2,34
3441,0.007443029899150133,2,35
2055,0.007383683230727911,2,36
11268,0.007309256121516228,2,37
1012,0.007380948401987553,2,38
3958,0.007050896994769573,2,39
3044,0.006946863606572151,2,40
1012,0.0069307065568864346,2,41
3044,0.006807604804635048,2,42
2018,0.006612164434045553,2,43
4703,0.006839870475232601,2,44
7034,0.006901243701577187,2,45
2006,0.007300918456166983,2,46
2308,0.007549677975475788,2,47
1005,0.007765666581690311,2,48
1055,0.00770667614415288,2,49
3311,0.007420735899358988,2,50
1010,0.007450684905052185,2,51
3140,0.007865717634558678,2,52
2493,0.007452824618667364,2,53
2000,0.0075883567333221436,2,54
2031,0.007772241253405809,2,55
6295,0.007944569922983646,2,56
2007,0.00784792099148035,2,57
2032,0.007814096286892891,2,58
1999,0.007945062592625618,2,59
2010,0.007504077162593603,2,60
2797,0.007646486628800631,2,61
2188,0.007473147939890623,2,62
1010,0.007249413523823023,2,63
1998,0.007086860481649637,2,64
4354,0.007525281980633736,2,65
2195,0.007710347883403301,2,66
2980,0.007924371398985386,2,67
1011,0.007908429950475693,2,68
14366,0.00788346491754055,2,69
4243,0.007872279733419418,2,70
2008,0.007714462466537952,2,71
2443,0.007646690588444471,2,72
16371,0.007887116633355618,2,73
25469,0.007585355546325445,2,74
1010,0.007317991461604834,2,75
2029,0.007378448266535997,2,76
2493,0.00707493769004941,2,77
2020,0.007265662308782339,2,78
2556,0.007322475779801607,2,79
2012,0.0074296207167208195,2,80
1012,0.006914179772138596,2,81
2009,0.007007693871855736,2,82
2001,0.006889123935252428,2,83
2092,0.006732266396284103,2,84
1011,0.0065660374239087105,2,85
2124,0.006447439547628164,2,86
2008,0.0070450808852910995,2,87
3044,0.006819441914558411,2,88
5117,0.007167364004999399,2,89
1999,0.007421343121677637,2,90
1037,0.007532121147960424,2,91
2186,0.00737484497949481,2,92
1997,0.00760723976418376,2,93
21864,0.007264306768774986,2,94
2094,0.007465129252523184,2,95
4013,0.00762200029566884,2,96
22035,0.007771593052893877,2,97
4424,0.007857726886868477,2,98
6550,0.00795464776456356,2,99
2007,0.008084431290626526,2,100
2010,0.0075594703666865826,2,101
2931,0.007719845045357943,2,102
4619,0.007392797153443098,2,103
2493,0.007219656836241484,2,104
1012,0.006760022137314081,2,105
2019,0.006512336898595095,2,106
2981,0.006511586252599955,2,107
4812,0.006460441742092371,2,108
2011,0.0060612838715314865,2,109
2019,0.006195450201630592,2,110
6327,0.0065350160002708435,2,111
2375,0.006312986835837364,2,112
3813,0.006272448692470789,2,113
2001,0.006570629309862852,2,114
4837,0.006698166485875845,2,115
1012,0.007075810804963112,2,116
3044,0.007292745169252157,2,117
2097,0.007085368502885103,2,118
2022,0.007166546769440174,2,119
6731,0.007491523865610361,2,120
2005,0.007574015762656927,2,121
2019,0.007494530640542507,2,122
25617,0.0073862033896148205,2,123
3815,0.00744270347058773,2,124
1997,0.007385989185422659,2,125
2051,0.007380984257906675,2,126
2030,0.007161174900829792,2,127
2130,0.007194380275905132,2,128
5045,0.007387313060462475,2,129
1010,0.006994837429374456,2,130
1037,0.007112245541065931,2,131
10958,0.007219638675451279,2,132
15780,0.007584144361317158,2,133
2005,0.007625875994563103,2,134
7470,0.007568215485662222,2,135
2094,0.0074523622170090675,2,136
12655,0.007225108332931995,2,137
1012,0.00674497289583087,2,138
2006,0.005276688374578953,3,0
2257,0.005701799876987934,3,1
2382,0.005492507480084896,3,2
2760,0.005529926158487797,3,3
1010,0.005430739838629961,3,4
2382,0.005361050833016634,3,5
1010,0.005329881329089403,3,6
2199,0.005352584645152092,3,7
4274,0.005350240506231785,3,8
5198,0.00544461514800787,3,9
1999,0.00551201356574893,3,10
3577,0.0052108727395534515,3,11
2363,0.005437267944216728,3,12
2019,0.005551059264689684,3,13
10373,0.005418683867901564,3,14
2007,0.005705313291400671,3,15
1996,0.005664917640388012,3,16
3395,0.00578685337677598,3,17
2240,0.005755546037107706,3,18
1005,0.005595754366368055,3,19
6234,0.005275415722280741,3,20
3433,0.005146815441548824,3,21
3223,0.005077043082565069,3,22
1011,0.005335372406989336,3,23
9385,0.005242939572781324,3,24
20701,0.0051724850200116634,3,25
1005,0.005078824236989021,3,26
1012,0.005111232399940491,3,27
1999,0.005430187098681927,3,28
2122,0.005435807164758444,3,29
22028,0.0053572338074445724,3,30
1010,0.00512333121150732,3,31
1996,0.005256203468888998,3,32
15991,0.005196718033403158,3,33
2020,0.00527759687975049,3,34
5496,0.005240797530859709,3,35
1997,0.005201707594096661,3,36
17800,0.005345962010324001,3,37
20083,0.005437184125185013,3,38
26932,0.00562511058524251,3,39
4180,0.005612138193100691,3,40
1998,0.005345502868294716,3,41
2020,0.005279866512864828,3,42
10290,0.0051806275732815266,3,43
2000,0.0052328105084598064,3,44
3477,0.005128731019794941,3,45
1002,0.005353422369807959,3,46
2340,0.005503268446773291,3,47
1010,0.005387691780924797,3,48
3156,0.005641500931233168,3,49
2011,0.0058784703724086285,3,50
1996,0.005924958735704422,3,51
2203,0.006039539352059364,3,52
1997,0.0059157623909413815,3,53
2244,0.005883725360035896,3,54
2000,0.005878655705600977,3,55
4468,0.005771980155259371,3,56
1037,0.0054417881183326244,3,57
9870,0.005032580345869064,3,58
1012,0.005261003039777279,3,59
6575,0.005496884696185589,3,60
2005,0.005840697325766087,3,61
1996,0.005544933024793863,3,62
10373,0.005318033508956432,3,63
4769,0.005311007611453533,3,64
3784,0.005144335329532623,3,65
5260,0.00515458919107914,3,66
2000,0.0055705830454826355,3,67
2019,0.00552013237029314,3,68
2880,0.005231903865933418,3,69
2375,0.005190368741750717,3,70
3813,0.00519859604537487,3,71
4037,0.004866492934525013,3,72
2284,0.005351447965949774,3,73
1999,0.005343175958842039,3,74
7623,0.0050839814357459545,3,75
1012,0.0052343751303851604,3,76
3859,0.005238260608166456,3,77
2044,0.005106796510517597,3,78
1996,0.005563497077673674,3,79
22028,0.005339913070201874,3,80
2020,0.0054107108153402805,3,81
2741,0.005272896494716406,3,82
2041,0.005487672984600067,3,83
1010,0.0049306415021419525,3,84
1996,0.004918573424220085,3,85
2375,0.005171319004148245,3,86
3813,0.0051265861839056015,3,87
4487,0.005235441029071808,3,88
6499,0.0054610478691756725,3,89
7962,0.005506184417754412,3,90
2098,0.005368810147047043,3,91
2068,0.005606117192655802,3,92
1010,0.004953073337674141,3,93
4214,0.005311927292495966,3,94
2068,0.005592846777290106,3,95
1037,0.0054074497893452644,3,96
28520,0.0053121475502848625,3,97
1012,0.005518692079931498,3,98
2610,0.005436021368950605,3,99
4584,0.005330055486410856,3,100
2110,0.0051310695707798,3,101
2008,0.005130439065396786,3,102
1019,0.005151799414306879,3,103
1003,0.005378234200179577,3,104
1997,0.005300702527165413,3,105
1996,0.005361862014979124,3,106
15991,0.005222550593316555,3,107
2031,0.005049441941082478,3,108
3825,0.005270363297313452,3,109
1996,0.005465543828904629,3,110
2769,0.0052909208461642265,3,111
1012,0.0055111064575612545,3,112
2023,0.005066810175776482,3,113
20571,0.005090591497719288,3,114
2000,0.005247560795396566,3,115
2062,0.005078871734440327,3,116
2084,0.005164311733096838,3,117
1002,0.00499329250305891,3,118
2459,0.005106386262923479,3,119
2454,0.004935007076710463,3,120
2008,0.004992381669580936,3,121
2031,0.004796723369508982,3,122
2042,0.0047742449678480625,3,123
3825,0.004862335976213217,3,124
2000,0.004910034127533436,3,125
1996,0.005165113601833582,3,126
8040,0.005202345550060272,3,127
3286,0.005267731845378876,3,128
16862,0.005070521961897612,3,129
1012,0.005226168315857649,3,130
2085,0.005027778912335634,3,131
1010,0.005104007665067911,3,132
1018,0.005359478294849396,3,133
3134,0.005457526538521051,3,134
2101,0.005269394256174564,3,135
1010,0.005185252521187067,3,136
1996,0.0052359020337462425,3,137
2610,0.005105240270495415,3,138
2031,0.0049424441531300545,3,139
12808,0.004962794948369265,3,140
2091,0.005048586055636406,3,141
1996,0.005188199691474438,3,142
4274,0.005245706997811794,3,143
7668,0.005206238012760878,3,144
2013,0.005039404146373272,3,145
2029,0.005092439241707325,3,146
1996,0.005251385271549225,3,147
22028,0.0049827611073851585,3,148
2020,0.005112756509333849,3,149
2741,0.005020648241043091,3,150
1012,0.005052419379353523,3,151
2044,0.005000636912882328,3,152
14158,0.00518783088773489,3,153
1996,0.0051400745287537575,3,154
7668,0.005252567119896412,3,155
1005,0.005128881894052029,3,156
1055,0.00507573876529932,3,157
4950,0.00513438181951642,3,158
8333,0.005148525349795818,3,159
1010,0.005066196899861097,3,160
1996,0.005142166279256344,3,161
2610,0.005273717455565929,3,162
4727,0.005315277259796858,3,163
1037,0.005525538697838783,3,164
2158,0.005451385863125324,3,165
1998,0.005519873928278685,3,166
1037,0.005498625338077545,3,167
2450,0.005363968666642904,3,168
1006,0.005495178978890181,3,169
2119,0.00531321344897151,3,170
4720,0.005313170608133078,3,171
