story_tokenized,tensor,story_id,story,token_id,story_cond,hedges
ring,3614,1,'smuggler_free',69,'smuggler_free',F
.,1012,1,'smuggler_free',70,'smuggler_free',F
this,2023,1,'smuggler_free',71,'smuggler_free',F
delivery,6959,1,'smuggler_free',72,'smuggler_free',F
would,2052,1,'smuggler_free',73,'smuggler_free',F
have,2031,1,'smuggler_free',74,'smuggler_free',F
been,2042,1,'smuggler_free',75,'smuggler_free',F
worth,4276,1,'smuggler_free',76,'smuggler_free',F
$,1002,1,'smuggler_free',77,'smuggler_free',F
250,5539,1,'smuggler_free',78,'smuggler_free',F
",",1010,1,'smuggler_free',79,'smuggler_free',F
000,2199,1,'smuggler_free',80,'smuggler_free',F
.,1012,1,'smuggler_free',81,'smuggler_free',F
one,2028,1,'smuggler_free',82,'smuggler_free',F
week,2733,1,'smuggler_free',83,'smuggler_free',F
after,2044,1,'smuggler_free',84,'smuggler_free',F
discovering,13648,1,'smuggler_free',85,'smuggler_free',F
the,1996,1,'smuggler_free',86,'smuggler_free',F
illegally,17800,1,'smuggler_free',87,'smuggler_free',F
captured,4110,1,'smuggler_free',88,'smuggler_free',F
birds,5055,1,'smuggler_free',89,'smuggler_free',F
",",1010,1,'smuggler_free',90,'smuggler_free',F
the,1996,1,'smuggler_free',91,'smuggler_free',F
police,2610,1,'smuggler_free',92,'smuggler_free',F
arrested,4727,1,'smuggler_free',93,'smuggler_free',F
four,2176,1,'smuggler_free',94,'smuggler_free',F
men,2273,1,'smuggler_free',95,'smuggler_free',F
who,2040,1,'smuggler_free',96,'smuggler_free',F
attempted,4692,1,'smuggler_free',97,'smuggler_free',F
to,2000,1,'smuggler_free',98,'smuggler_free',F
commit,10797,1,'smuggler_free',99,'smuggler_free',F
the,1996,1,'smuggler_free',100,'smuggler_free',F
smuggling,19535,1,'smuggler_free',101,'smuggler_free',F
.,1012,1,'smuggler_free',102,'smuggler_free',F
the,1996,1,'smuggler_free',103,'smuggler_free',F
men,2273,1,'smuggler_free',104,'smuggler_free',F
face,2227,1,'smuggler_free',105,'smuggler_free',F
five,2274,1,'smuggler_free',106,'smuggler_free',F
years,2086,1,'smuggler_free',107,'smuggler_free',F
in,1999,1,'smuggler_free',108,'smuggler_free',F
prison,3827,1,'smuggler_free',109,'smuggler_free',F
and,1998,1,'smuggler_free',110,'smuggler_free',F
